spot_id,place_id,spot_name,description
1,1,Venna Lake,Popular lake for boating and leisure
2,1,Arthur Seat,Scenic viewpoint overlooking deep valleys
3,1,Wilson Point,Highest point famous for sunrise
4,1,Mapro Garden,Famous food and strawberry outlet
5,2,Bhushi Dam,Seasonal waterfall and picnic spot
6,2,Lion Point,Valley viewpoint with misty views
7,2,Rajmachi Point,Viewpoint facing Rajmachi fort
8,2,Karla Caves,Ancient Buddhist rock cut caves
9,3,Duke Nose,Cliff viewpoint and trekking spot
10,3,Amrutanjan Point,Popular valley viewpoint
11,3,Shooting Point,Film shooting location
12,4,Panorama Point,Wide panoramic hill views
13,4,Charlotte Lake,Water reservoir and picnic area
14,4,Echo Point,Natural echo location
15,4,One Tree Hill,Unique hilltop viewpoint
16,5,Alibaug Beach,Main beach with sunset views
17,5,Kolaba Fort,Sea fort near coastline
18,5,Varsoli Beach,Quiet beach near town
19,5,Nagaon Beach,Water sports beach
20,6,Murud Janjira Fort,Historic island fort
21,6,Murud Beach,Long sandy beach
22,6,Datta Mandir,Local religious temple
23,7,Tarkarli Beach,Clear water beach
24,7,Devbagh Beach,Backwater and beach confluence
25,7,Karli Backwaters,Boat ride experience
26,8,Ganpatipule Temple,Beachside Ganesh temple
27,8,Ganpatipule Beach,White sand beach
28,8,Jaigad Fort,Fort overlooking creek
29,9,Bhatye Beach,Scenic Ratnagiri beach
30,9,Thibaw Palace,Historical palace
31,9,Pawas Village,Spiritual retreat village
32,10,Sindhudurg Fort,Historic sea fort
33,10,Malvan Beach,Popular Konkan beach
34,10,Tsunami Island,Water sports location
35,11,Table Land,Asia largest plateau
36,11,Sydney Point,Valley viewpoint
37,11,Parsi Point,Popular scenic spot
38,12,Vipassana Center,Meditation retreat
39,12,Ashoka Waterfall,Seasonal waterfall
40,12,Tringalwadi Fort,Trekking fort
41,13,Arthur Lake,Calm scenic lake
42,13,Randha Falls,Large waterfall
43,13,Wilson Dam,Historic dam
44,14,Ajanta Cave 1,Buddhist painting cave
45,14,Ajanta Cave 2,Ancient sculpture cave
46,14,Ajanta Viewpoint,Panoramic cave view
47,15,Kailasa Temple,Monolithic rock temple
48,15,Ellora Cave 10,Buddhist cave
49,15,Ellora Cave 16,Hindu cave temple
50,16,Bibi Ka Maqbara,Mughal monument
51,16,Aurangabad Caves,Rock cut caves
52,16,Daulatabad Fort,Historic hill fort
53,17,Trimbakeshwar Temple,Jyotirlinga temple
54,17,Sula Vineyards,Popular winery
55,17,Pandavleni Caves,Ancient caves
56,18,Sai Baba Temple,Pilgrimage temple
57,18,Dwarkamai,Historic mosque
58,18,Chavadi,Religious site
59,19,Mahalaxmi Temple,Important religious temple
60,19,Rankala Lake,Popular lake
61,19,Panhala Fort,Historic fort
62,20,Kaas Plateau,Seasonal flower valley
63,20,Thoseghar Falls,Waterfall destination
64,20,Sajjangad Fort,Historic fort
65,21,Raigad Fort,Capital fort of Shivaji Maharaj
66,21,Hirkani Buruj,Fort structure
67,21,Gangasagar Lake,Historic water reservoir
68,22,Pratapgad Fort,Historic battlefield fort
69,22,Bhavai Devi Temple,Temple near fort
70,22,Sunset Point,Scenic sunset spot
71,23,Vashishti River,Boating experience
72,23,Guhagar Beach,Nearby beach
73,23,Koyna Backwaters,Scenic backwaters
74,24,Dapoli Beach,Serene beach
75,24,Ladghar Beach,Red soil beach
76,24,Suvarnadurg Fort,Sea fort
77,25,Harihareshwar Temple,Shiva temple
78,25,Harihareshwar Beach,Calm beach
79,25,Kalbhairav Temple,Ancient temple
80,26,Guhagar Beach,Uncrowded beach
81,26,Velneshwar Temple,Shiva temple
82,26,Anjarle Beach,Scenic coastline
83,27,Amboli Falls,Seasonal waterfall
84,27,Kawalesaad Point,Valley viewpoint
85,27,Sunset Point,Sunset location
86,28,Dasve Viewpoint,City viewpoint
87,28,Temghar Dam,Nearby dam
88,28,Warasgaon Lake,Scenic lake
89,29,Shaniwar Wada,Historic fort
90,29,Aga Khan Palace,Freedom movement site
91,29,Sinhagad Fort,Trekking fort
92,30,Gateway of India,Iconic monument
93,30,Marine Drive,Coastal promenade
94,30,Elephanta Caves,Ancient cave temples
