stay_id,spot_id,stay_name,price_per_night,budget_range
1,1,Venna Lake View Lodge,1200,Low
2,1,Mapro Garden Homestay,2800,Mid
3,2,Bhushi Dam Guest House,1500,Low
4,2,Lion Point Hill Resort,4200,High
5,3,Khandala Valley Inn,2200,Mid
6,3,Duke Nose Cliff Stay,4800,High
7,4,Matheran Forest Cottage,1800,Mid
8,4,Panorama Point Resort,5200,High
9,5,Alibaug Beachside Lodge,2500,Mid
10,5,Kolaba Fort Sea View Resort,6000,High
11,6,Murud Janjira Homestay,1500,Low
12,6,Murud Beach Resort,4500,High
13,7,Tarkarli MTDC Cottage,2000,Mid
14,7,Devbagh Beach Resort,5500,High
15,8,Ganpatipule Temple Stay,1200,Low
16,8,Ganpatipule Beach Resort,4800,High
17,9,Raigad Fort Base Lodge,1400,Low
18,9,Raigad Hill View Resort,3500,Mid
19,10,Elephanta Island Guest House,1800,Mid
20,10,Mumbai Harbour View Hotel,5200,High
21,11,Ajanta Cave View Lodge,1600,Low
22,11,Ajanta Heritage Resort,4200,High
23,12,Ellora Cave Stay Inn,1700,Low
24,12,Ellora Royal Resort,4800,High
25,13,Aurangabad City Lodge,2000,Mid
26,13,Aurangabad Palace Hotel,5500,High
27,14,Panchgani Hilltop Homestay,2200,Mid
28,14,Panchgani Valley Resort,5000,High
29,15,Sinhagad Base Lodge,1200,Low
30,15,Sinhagad Mountain Resort,3800,Mid
31,16,Lavasa Lakeside Inn,2600,Mid
32,16,Lavasa Luxury Resort,6200,High
33,17,Bhimashankar Forest Lodge,1800,Mid
34,17,Bhimashankar Eco Resort,4500,High
35,18,Nashik Vineyard Stay,2800,Mid
36,18,Nashik Wine Resort,6500,High
37,19,Trimbakeshwar Temple Lodge,1000,Low
38,19,Trimbak Hill Resort,4000,High
39,20,Shirdi Sai Guest House,1200,Low
40,20,Shirdi Comfort Hotel,3000,Mid
41,21,Kolhapur City Inn,1800,Mid
42,21,Kolhapur Heritage Palace,5200,High
43,22,Ratnagiri Coastal Homestay,1500,Low
44,22,Ratnagiri Sea View Resort,4800,High
45,23,Chiplun Riverside Lodge,1400,Low
