food_id,spot_id,food_place_name,price_per_person,budget_range
1,1,Venna Lake Snacks Corner,150,low
2,1,Strawberry Treat Cafe,350,mid
3,1,Lakeside Restaurant,700,high
4,2,Arthur View Tea Stall,100,low
5,2,Hilltop Dining Point,400,mid
6,3,Sunrise Maggie Point,120,low
7,3,Wilson Cafe,300,mid
8,4,Mapro Food Court,350,mid
9,4,Fresh Farm Eatery,600,high
10,5,Bhushi Vada Pav Stall,80,low
11,5,Dam View Snacks,150,low
12,5,Waterfall Cafe,450,mid
13,6,Lion Point Chai Tapri,70,low
14,6,Valley View Restaurant,500,mid
15,7,Rajmachi Bhojanalay,200,low
16,7,Trekker's Cafe,400,mid
17,8,Karla Cave Snacks,120,low
18,8,Ancient Rock Cafe,350,mid
19,9,Duke Nose Tea Point,90,low
20,9,Cliffside Restaurant,550,mid
21,10,Amrutanjan Maggie Point,100,low
22,10,Valley Food Shack,250,low
23,11,Shooting Point Cafe,300,mid
24,11,Film City Diner,600,high
25,12,Panorama View Snacks,120,low
26,12,Mountain Breeze Cafe,380,mid
27,13,Charlotte Lake Food Stall,150,low
28,13,Lakeview Restaurant,500,mid
29,14,Echo Point Corn Stall,80,low
30,14,Hill Echo Cafe,300,mid
31,15,One Tree Hill Snacks,100,low
32,15,Forest View Restaurant,450,mid
33,16,Alibaug Beach Shack,250,low
34,16,Sunset Coast Restaurant,700,high
35,17,Kolaba Fort Tea Stall,80,low
36,17,Sea Breeze Diner,400,mid
37,18,Varsoli Seafood Shack,350,mid
38,18,Beachside Thali House,600,high
39,19,Nagaon Beach Snacks,200,low
40,19,Water Sports Cafe,500,mid
41,20,Janjira Fort Tea Stall,90,low
42,20,Fort View Restaurant,450,mid
43,21,Murud Beach Corn Point,100,low
44,21,Seaside Family Restaurant,600,high
45,22,Local Temple Bhojanalay,180,low
46,22,Village Veg Mess,250,low
47,23,Tarkarli Beach Shack,300,mid
48,23,Scuba Cafe,650,high
49,24,Devbagh Seafood Hut,400,mid
50,24,Backwater Dining Deck,700,high
51,25,Karli River Snacks,120,low
52,25,Boat Ride Cafe,350,mid
53,26,Ganpatipule Prasad Bhojanalay,150,low
54,26,Temple View Restaurant,400,mid
55,27,Ganpatipule Beach Shack,300,mid
56,27,Sea Pearl Restaurant,700,high
57,28,Jaigad Fort Tea Point,90,low
58,28,Creek View Cafe,350,mid
59,29,Bhatye Beach Snacks,200,low
60,29,Coastal Curry House,500,mid
61,30,Thibaw Palace Cafe,300,mid
62,30,Heritage Dining Hall,650,high
63,31,Pawas Ashram Bhojanalay,200,low
64,31,Spiritual Cafe,350,mid
65,32,Sindhudurg Fort Snacks,150,low
66,32,Sea Fort Restaurant,600,high
67,33,Malvan Beach Fish Fry,250,low
68,33,Malvani Thali House,450,mid
69,34,Tsunami Island Snack Boat,300,mid
70,34,Island Dining Deck,750,high
71,35,Table Land Tea Stall,80,low
72,35,Plateau View Restaurant,400,mid
73,36,Sydney Point Chai Tapri,90,low
74,36,Valley Edge Cafe,350,mid
75,37,Parsi Point Snacks,120,low
76,37,Sunset Plate Restaurant,500,mid
77,38,Vipassana Simple Meals,200,low
78,38,Meditation Cafe,350,mid
79,39,Ashoka Falls Snack Stall,150,low
