travel_id,place_id,source_city,travel_mode,approx_cost,approx_duration_hours
1,1,Mumbai,Bus,1561,9.75
2,1,Mumbai,Train,1205,10.02
3,1,Mumbai,Flight,4917,1.12
4,1,Mumbai,Own_Car,3478,6.55
5,1,Mumbai,Bike,1257,5.68
6,1,Pune,Bus,1229,4.24
7,1,Pune,Train,394,8.08
8,1,Pune,Flight,4352,2.78
9,1,Pune,Own_Car,3957,9.38
10,1,Pune,Bike,1578,11.29
11,1,Nagpur,Bus,605,4.66
12,1,Nagpur,Train,935,8.92
13,1,Nagpur,Flight,3508,2.78
14,1,Nagpur,Own_Car,3817,8.31
15,1,Nagpur,Bike,912,11.06
16,1,Nashik,Bus,1108,4.52
17,1,Nashik,Train,1492,9.25
18,1,Nashik,Flight,4541,2.14
19,1,Nashik,Own_Car,3865,4.36
20,1,Nashik,Bike,1064,7.71
21,1,Aurangabad,Bus,1463,9.51
22,1,Aurangabad,Train,302,6.33
23,1,Aurangabad,Flight,5413,1.64
24,1,Aurangabad,Own_Car,4825,8.61
25,1,Aurangabad,Bike,968,8.56
26,1,Thane,Bus,603,9.75
27,1,Thane,Train,925,7.35
28,1,Thane,Flight,4577,2.06
29,1,Thane,Own_Car,4185,4.67
30,1,Thane,Bike,1301,10.2
31,1,Navi Mumbai,Bus,1172,5.11
32,1,Navi Mumbai,Train,1392,6.28
33,1,Navi Mumbai,Flight,6461,1.17
34,1,Navi Mumbai,Own_Car,4937,7.25
35,1,Navi Mumbai,Bike,1496,9.27
36,1,Kalyan,Bus,1464,9.6
37,1,Kalyan,Train,1667,10.4
38,1,Kalyan,Flight,4135,2.39
39,1,Kalyan,Own_Car,3675,9.13
40,1,Kalyan,Bike,705,5.09
41,1,Dombivli,Bus,832,5.61
42,1,Dombivli,Train,1876,9.61
43,1,Dombivli,Flight,6126,2.48
44,1,Dombivli,Own_Car,2959,9.45
45,1,Dombivli,Bike,1873,11.6
46,1,Amravati,Bus,1238,4.15
47,1,Amravati,Train,1376,7.41
48,1,Amravati,Flight,2668,1.15
49,1,Amravati,Own_Car,4789,5.7
50,1,Amravati,Bike,1140,6.09
51,1,Kolhapur,Bus,525,7.0
52,1,Kolhapur,Train,1431,4.1
53,1,Kolhapur,Flight,6997,3.03
54,1,Kolhapur,Own_Car,4258,4.32
55,1,Kolhapur,Bike,1645,8.48
56,1,Solapur,Bus,1250,4.34
57,1,Solapur,Train,1885,10.35
58,1,Solapur,Flight,6453,1.26
59,1,Solapur,Own_Car,4598,9.2
60,1,Solapur,Bike,583,9.77
61,1,Sangli,Bus,488,6.27
62,1,Sangli,Train,368,8.07
63,1,Sangli,Flight,3174,2.38
64,1,Sangli,Own_Car,3706,6.4
65,1,Sangli,Bike,1333,8.28
66,1,Satara,Bus,608,9.56
67,1,Satara,Train,351,7.91
68,1,Satara,Flight,4513,3.47
69,1,Satara,Own_Car,1982,8.39
70,1,Satara,Bike,1906,11.91
71,1,Ratnagiri,Bus,1254,7.69
72,1,Ratnagiri,Train,451,10.12
73,1,Ratnagiri,Flight,6540,1.6
74,1,Ratnagiri,Own_Car,2294,5.3
75,1,Ratnagiri,Bike,741,11.87
76,1,Sindhudurg,Bus,476,8.9
77,1,Sindhudurg,Train,733,9.09
78,1,Sindhudurg,Flight,3267,2.44
79,1,Sindhudurg,Own_Car,1543,8.09
80,1,Sindhudurg,Bike,1900,5.8
81,1,Latur,Bus,894,5.03
82,1,Latur,Train,610,7.12
83,1,Latur,Flight,5937,2.47
84,1,Latur,Own_Car,4523,5.88
85,1,Latur,Bike,1134,5.62
86,1,Osmanabad,Bus,1037,4.65
87,1,Osmanabad,Train,1304,4.01
88,1,Osmanabad,Flight,5797,3.1
89,1,Osmanabad,Own_Car,2729,6.6
90,1,Osmanabad,Bike,687,5.45
91,1,Beed,Bus,1054,8.17
92,1,Beed,Train,722,6.51
93,1,Beed,Flight,4906,2.09
94,1,Beed,Own_Car,3213,9.57
95,1,Beed,Bike,971,9.91
96,1,Jalgaon,Bus,564,4.39
97,1,Jalgaon,Train,309,4.36
98,1,Jalgaon,Flight,6554,2.77
99,1,Jalgaon,Own_Car,4429,6.2
100,1,Jalgaon,Bike,1668,8.75
101,1,Dhule,Bus,1422,5.1
102,1,Dhule,Train,1557,9.4
103,1,Dhule,Flight,3126,2.88
104,1,Dhule,Own_Car,1855,6.8
105,1,Dhule,Bike,1892,10.32
106,1,Nanded,Bus,932,7.73
107,1,Nanded,Train,1664,4.09
108,1,Nanded,Flight,3612,1.93
109,1,Nanded,Own_Car,3960,5.31
110,1,Nanded,Bike,1841,6.47
111,1,Parbhani,Bus,448,4.62
112,1,Parbhani,Train,1126,10.14
113,1,Parbhani,Flight,5199,1.56
114,1,Parbhani,Own_Car,3869,8.59
115,1,Parbhani,Bike,1694,10.38
116,1,Akola,Bus,1307,5.89
117,1,Akola,Train,528,4.76
118,1,Akola,Flight,2967,1.23
119,1,Akola,Own_Car,3034,5.67
120,1,Akola,Bike,1969,9.38
121,1,Buldhana,Bus,723,4.01
122,1,Buldhana,Train,1376,3.85
123,1,Buldhana,Flight,2630,2.7
124,1,Buldhana,Own_Car,2241,4.38
125,1,Buldhana,Bike,1928,9.5
126,1,Yavatmal,Bus,614,4.41
127,1,Yavatmal,Train,1069,8.29
128,1,Yavatmal,Flight,2869,1.57
129,1,Yavatmal,Own_Car,3644,8.07
130,1,Yavatmal,Bike,1233,5.46
131,1,Wardha,Bus,1531,7.25
132,1,Wardha,Train,987,4.71
133,1,Wardha,Flight,5965,2.13
134,1,Wardha,Own_Car,3786,8.51
135,1,Wardha,Bike,1801,11.1
136,1,Chandrapur,Bus,528,8.43
137,1,Chandrapur,Train,1649,6.57
138,1,Chandrapur,Flight,6765,1.03
139,1,Chandrapur,Own_Car,3602,5.14
140,1,Chandrapur,Bike,1482,5.59
141,1,Gondia,Bus,734,4.55
142,1,Gondia,Train,872,7.23
143,1,Gondia,Flight,2527,2.98
144,1,Gondia,Own_Car,4389,6.29
145,1,Gondia,Bike,1576,10.83
146,1,Bhandara,Bus,1284,9.88
147,1,Bhandara,Train,371,3.75
148,1,Bhandara,Flight,6758,2.34
